SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
84,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,25-07-2016 08:00,10.266
85,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,25-07-2016 11:00,10.281
86,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,25-07-2016 14:00,10.243
87,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,25-07-2016 17:00,10.268
88,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,26-07-2016 08:00,5.256
89,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,26-07-2016 11:00,5.252
90,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,26-07-2016 14:00,5.248
91,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,26-07-2016 17:00,5.24
92,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,27-07-2016 08:00,5.216
93,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,27-07-2016 11:00,5.126
94,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,27-07-2016 14:00,5.224
95,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,27-07-2016 17:00,5.098
96,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,28-07-2016 08:00,5.104
97,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,28-07-2016 11:00,5.092
98,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,28-07-2016 14:00,5.196
99,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,28-07-2016 17:00,5.212
100,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,29-07-2016 08:00,5.228
101,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,29-07-2016 11:00,5.264
102,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,29-07-2016 14:00,5.26
103,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,29-07-2016 17:00,5.236
104,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,30-07-2016 08:00,5.288
105,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,30-07-2016 11:00,5.28
106,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,30-07-2016 14:00,10.231
107,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,30-07-2016 17:00,10.258
108,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,31-07-2016 08:00,15.126
109,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,31-07-2016 11:00,15.108
110,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,31-07-2016 14:00,21.191
111,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,31-07-2016 17:00,33.255
112,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,01-08-2016 08:00,57.194
113,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,01-08-2016 11:00,70.067
