SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
3643,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-08-2017 11:00,0
3644,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-08-2017 14:00,0
3645,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-08-2017 17:00,0
3646,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,02-08-2017 08:00,0
3647,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,02-08-2017 11:00,0
3648,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,02-08-2017 14:00,0
3649,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,02-08-2017 17:00,0
3650,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,03-08-2017 08:00,0
3651,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,03-08-2017 11:00,0
3652,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,03-08-2017 14:00,0
3653,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,03-08-2017 17:00,0
3654,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,04-08-2017 08:00,0
3655,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,04-08-2017 11:00,0
3656,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,04-08-2017 14:00,0
3657,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,04-08-2017 17:00,0
3658,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,05-08-2017 08:00,0
3659,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,05-08-2017 11:00,0
3660,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,05-08-2017 14:00,0
3661,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,05-08-2017 17:00,0
3662,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,06-08-2017 08:00,0
3663,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,06-08-2017 11:00,0
3664,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,06-08-2017 14:00,0
3665,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,06-08-2017 17:00,0
3666,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,07-08-2017 08:00,0
3667,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,07-08-2017 11:00,0
3668,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,07-08-2017 14:00,0
3669,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,07-08-2017 17:00,0
3670,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,08-08-2017 08:00,0
3671,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,08-08-2017 11:00,0
3672,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,08-08-2017 14:00,0
3673,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,08-08-2017 17:00,0
3674,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,09-08-2017 08:00,0
3675,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,09-08-2017 11:00,0
3676,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,09-08-2017 14:00,0
3677,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,09-08-2017 17:00,0
3678,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,10-08-2017 08:00,0
3679,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,10-08-2017 11:00,0
3680,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,10-08-2017 14:00,0
3681,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,10-08-2017 17:00,0
3682,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,11-08-2017 08:00,0
3683,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,11-08-2017 11:00,0
3684,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,11-08-2017 14:00,0
3685,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,11-08-2017 17:00,0
3686,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,12-08-2017 08:00,0
3687,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,12-08-2017 11:00,0
3688,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,12-08-2017 14:00,0
3689,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,12-08-2017 17:00,0
3690,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,13-08-2017 08:00,0
3691,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,13-08-2017 11:00,0
3692,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,13-08-2017 14:00,0
3693,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,13-08-2017 17:00,0
3694,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,14-08-2017 08:00,0
3695,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,14-08-2017 11:00,0
3696,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,14-08-2017 14:00,0
3697,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,14-08-2017 17:00,0
3698,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,15-08-2017 08:00,0
3699,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,15-08-2017 11:00,0
3700,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,15-08-2017 14:00,0
3701,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,15-08-2017 17:00,0
3702,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,16-08-2017 08:00,0
3703,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,16-08-2017 11:00,0
3704,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,16-08-2017 14:00,0
3705,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,16-08-2017 17:00,0
3706,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,17-08-2017 08:00,0
3707,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,17-08-2017 11:00,0
3708,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,17-08-2017 14:00,0
3709,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,17-08-2017 17:00,0
3710,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,18-08-2017 08:00,0
3711,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,18-08-2017 11:00,0
3712,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,18-08-2017 14:00,0
3713,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,18-08-2017 17:00,0
3714,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,19-08-2017 08:00,0
3715,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,19-08-2017 11:00,0
3716,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,19-08-2017 14:00,0
3717,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,19-08-2017 17:00,0
3718,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,20-08-2017 08:00,0
3719,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,20-08-2017 11:00,0
3720,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,20-08-2017 14:00,0
3721,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,20-08-2017 17:00,0
3722,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,21-08-2017 08:00,0
3723,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,21-08-2017 11:00,0
3724,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,21-08-2017 14:00,0
3725,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,21-08-2017 17:00,0
3726,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,22-08-2017 08:00,0
3727,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,22-08-2017 11:00,0
3728,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,22-08-2017 14:00,0
3729,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,22-08-2017 17:00,0
3730,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,23-08-2017 08:00,0
3731,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,23-08-2017 11:00,0
3732,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,23-08-2017 14:00,0
3733,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,23-08-2017 17:00,0
3734,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,24-08-2017 08:00,0
3735,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,24-08-2017 11:00,0
3736,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,24-08-2017 14:00,0
3737,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,24-08-2017 17:00,0
3738,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,25-08-2017 08:00,0
3739,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,25-08-2017 11:00,0
3740,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,25-08-2017 14:00,0
3741,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,25-08-2017 17:00,0
3742,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,26-08-2017 08:00,0
3743,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,26-08-2017 11:00,0
3744,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,26-08-2017 14:00,0
3745,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,26-08-2017 17:00,0
3746,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,27-08-2017 08:00,0
3747,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,27-08-2017 11:00,0
3748,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,27-08-2017 14:00,0
3749,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,27-08-2017 17:00,0
3750,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,28-08-2017 08:00,0
3751,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,28-08-2017 11:00,0
3752,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,28-08-2017 14:00,0
3753,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,28-08-2017 17:00,0
3754,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,29-08-2017 08:00,1.57
3755,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,29-08-2017 11:00,1.8
3756,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,29-08-2017 14:00,1.92
3757,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,29-08-2017 17:00,1.21
3758,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,30-08-2017 08:00,0.45
3759,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,30-08-2017 11:00,0.45
3760,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,30-08-2017 14:00,0.45
3761,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,30-08-2017 17:00,0.45
3762,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,31-08-2017 08:00,1.8
3763,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,31-08-2017 11:00,1.8
3764,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,31-08-2017 14:00,1.8
3765,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,31-08-2017 17:00,1.8
3766,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-09-2017 08:00,1.21
3767,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-09-2017 11:00,1
3768,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-09-2017 14:00,1
3769,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,01-09-2017 17:00,1
3770,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,02-09-2017 08:00,0.678
